x 0 || 0 0
x 0 || 0 0
x 0 || 0 0
x 0 || 0 0
x 0 || 0 0
x 0 || 0 0
x 0 || 0 0
x 0 || 1 0
x 0 || 1 0
x 0 || 1 0
x 0 || 1 1
x 0 || 1 1
x 0 || 1 3
x 0 || 1 3
x 0 || 1 7
1 0 || 1 7
1 0 || 1 0
1 0 || 1 0
1 0 || 1 0
1 0 || 1 0
1 0 || 1 0
1 0 || 1 0
1 0 || 1 0
0 0 || 1 0
0 0 || 1 0
0 0 || 1 0
0 0 || 1 1
0 0 || 1 1
0 0 || 1 3
0 0 || 1 3
0 0 || 1 7
0 0 || 1 7
0 0 || 1 0
0 0 || 1 0
0 0 || 1 1
0 1 || 1 1
0 1 || 1 3
0 1 || 1 3
0 1 || 1 7
0 1 || 1 7
0 1 || 1 0
0 1 || 1 0
0 1 || 112
0 1 || 112
0 1 || 130
0 1 || 130
0 1 || 163
0 1 || 063
0 1 || 0 0
0 1 || 0 0
0 1 || 0 8
0 1 || 0 8
0 1 || 024
0 1 || 024
0 1 || 056
0 1 || 056
0 1 || 0 0
0 1 || 0 0
0 1 || 0 8
0 1 || 0 8
0 1 || 024
0 1 || 024
0 1 || 056
0 1 || 056
0 1 || 0 0
0 1 || 0 0
0 1 || 0 8
0 1 || 0 8
0 1 || 024
0 1 || 024
0 1 || 056
0 1 || 056
0 1 || 0 0
0 1 || 0 0
0 1 || 0 8
0 1 || 0 8
0 1 || 024
0 1 || 024
0 1 || 056
0 1 || 156
0 1 || 1 0
0 1 || 1 0
0 1 || 112
0 1 || 112
0 1 || 130
0 1 || 130
0 1 || 163
0 1 || 163
0 1 || 1 0
0 1 || 1 0
0 1 || 112
0 1 || 112
0 1 || 130
0 1 || 130
0 1 || 163
0 1 || 163
0 1 || 1 0
0 1 || 1 0
0 1 || 112
1 1 || 112
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
1 1 || 1 0
